61, 55 : 43, 235 : 154, 4 : 156, 105
130, 72 : 43, 235 : 154, 4 : 156, 105
92, 138 : 43, 235 : 154, 4 : 156, 105
71, 40 : 43, 235 : 154, 4 : 156, 105
59, 45 : 43, 235 : 154, 4 : 156, 105
110, 8 : 43, 235 : 154, 4 : 156, 105
33, 43 : 43, 235 : 154, 4 : 156, 105
74, 16 : 43, 235 : 154, 4 : 156, 105
40, 57 : 43, 235 : 154, 4 : 156, 105
34, 44 : 43, 235 : 154, 4 : 156, 105
98, 81 : 43, 235 : 154, 4 : 156, 105
39, 85 : 43, 235 : 154, 4 : 156, 105
63, 20 : 43, 235 : 154, 4 : 156, 105
59, 50 : 43, 235 : 154, 4 : 156, 105
121, 133 : 43, 235 : 154, 4 : 156, 105
34, 32 : 43, 235 : 154, 4 : 156, 105
20, 55 : 43, 235 : 154, 4 : 156, 105
145, 136 : 43, 235 : 154, 4 : 156, 105
51, 43 : 43, 235 : 154, 4 : 156, 105
55, 91 : 43, 235 : 154, 4 : 156, 105
174, 14 : 43, 235 : 154, 4 : 156, 105
52, 57 : 43, 235 : 154, 4 : 156, 105
136, 71 : 43, 235 : 154, 4 : 156, 105
168, 62 : 43, 235 : 154, 4 : 156, 105
82, 59 : 43, 235 : 154, 4 : 156, 105
143, 58 : 43, 235 : 154, 4 : 156, 105
50, 51 : 43, 235 : 154, 4 : 156, 105
54, 69 : 43, 235 : 154, 4 : 156, 105
151, 34 : 43, 235 : 154, 4 : 156, 105
61, 49 : 43, 235 : 154, 4 : 156, 105
101, 17 : 43, 235 : 154, 4 : 156, 105
86, 46 : 43, 235 : 154, 4 : 156, 105
46, 130 : 43, 235 : 154, 4 : 156, 105
99, 50 : 43, 235 : 154, 4 : 156, 105
20, 65 : 43, 235 : 154, 4 : 156, 105
176, 64 : 43, 235 : 154, 4 : 156, 105
86, 45 : 43, 235 : 154, 4 : 156, 105
102, 30 : 43, 235 : 154, 4 : 156, 105
134, 111 : 43, 235 : 154, 4 : 156, 105
32, 36 : 43, 235 : 154, 4 : 156, 105
102, 63 : 43, 235 : 154, 4 : 156, 105
110, 30 : 43, 235 : 154, 4 : 156, 105
52, 49 : 43, 235 : 154, 4 : 156, 105
27, 127 : 43, 235 : 154, 4 : 156, 105
167, 60 : 43, 235 : 154, 4 : 156, 105
82, 27 : 43, 235 : 154, 4 : 156, 105
84, 39 : 43, 235 : 154, 4 : 156, 105
81, 123 : 43, 235 : 154, 4 : 156, 105
59, 47 : 43, 235 : 154, 4 : 156, 105
18, 110 : 43, 235 : 154, 4 : 156, 105
150, 28 : 43, 235 : 154, 4 : 156, 105
66, 50 : 43, 235 : 154, 4 : 156, 105
117, 9 : 43, 235 : 154, 4 : 156, 105
73, 161 : 43, 235 : 154, 4 : 156, 105
27, 55 : 43, 235 : 154, 4 : 156, 105
139, 46 : 43, 235 : 154, 4 : 156, 105
78, 155 : 43, 235 : 154, 4 : 156, 105
78, 47 : 43, 235 : 154, 4 : 156, 105
68, 78 : 43, 235 : 154, 4 : 156, 105
116, 41 : 43, 235 : 154, 4 : 156, 105
64, 69 : 43, 235 : 154, 4 : 156, 105
67, 115 : 43, 235 : 154, 4 : 156, 105
57, 45 : 43, 235 : 154, 4 : 156, 105
81, 15 : 43, 235 : 154, 4 : 156, 105
117, 39 : 43, 235 : 154, 4 : 156, 105
175, 61 : 43, 235 : 154, 4 : 156, 105
80, 44 : 43, 235 : 154, 4 : 156, 105
132, 74 : 43, 235 : 154, 4 : 156, 105
163, 99 : 43, 235 : 154, 4 : 156, 105
38, 34 : 43, 235 : 154, 4 : 156, 105
59, 97 : 43, 235 : 154, 4 : 156, 105
165, 151 : 43, 235 : 154, 4 : 156, 105
64, 49 : 43, 235 : 154, 4 : 156, 105
142, 13 : 43, 235 : 154, 4 : 156, 105
21, 139 : 43, 235 : 154, 4 : 156, 105
54, 60 : 43, 235 : 154, 4 : 156, 105
101, 121 : 43, 235 : 154, 4 : 156, 105
50, 132 : 43, 235 : 154, 4 : 156, 105
42, 45 : 43, 235 : 154, 4 : 156, 105
116, 97 : 43, 235 : 154, 4 : 156, 105
86, 79 : 43, 235 : 154, 4 : 156, 105
72, 84 : 43, 235 : 154, 4 : 156, 105
70, 44 : 43, 235 : 154, 4 : 156, 105
161, 150 : 43, 235 : 154, 4 : 156, 105
41, 46 : 43, 235 : 154, 4 : 156, 105
131, 115 : 43, 235 : 154, 4 : 156, 105
210, 139 : 43, 235 : 154, 4 : 156, 105
74, 52 : 43, 235 : 154, 4 : 156, 105
75, 59 : 43, 235 : 154, 4 : 156, 105
130, 132 : 43, 235 : 154, 4 : 156, 105
60, 52 : 43, 235 : 154, 4 : 156, 105
57, 52 : 43, 235 : 154, 4 : 156, 105
118, 47 : 43, 235 : 154, 4 : 156, 105
55, 24 : 43, 235 : 154, 4 : 156, 105
137, 28 : 43, 235 : 154, 4 : 156, 105
162, 94 : 43, 235 : 154, 4 : 156, 105
53, 23 : 43, 235 : 154, 4 : 156, 105
117, 43 : 43, 235 : 154, 4 : 156, 105
131, 126 : 43, 235 : 154, 4 : 156, 105
45, 51 : 43, 235 : 154, 4 : 156, 105
