43, 66
132, 55
180, 72
55, 55
53, 97
54, 27
5, 81
87, 60
230, 119
75, 30
146, 92
58, 41
71, 40
108, 66
119, 29
74, 21
53, 12
99, 81
88, 18
82, 75
196, 71
94, 29
154, 74
211, 104
64, 47
9, 82
110, 118
42, 26
127, 88
67, 131
49, 4
159, 57
45, 105
99, 51
67, 84
70, 84
54, 44
45, 68
170, 39
66, 9
63, 94
107, 67
79, 74
93, 42
175, 119
65, 54
121, 83
191, 87
28, 52
60, 79
24, 73
78, 50
57, 87
138, 39
75, 59
134, 32
29, 47
47, 30
116, 81
100, 119
61, 67
149, 43
141, 127
58, 26
41, 47
111, 63
70, 46
15, 70
164, 111
55, 34
127, 32
78, 120
76, 21
114, 92
194, 65
96, 2
66, 65
103, 10
56, 57
29, 74
84, 90
9, 32
132, 6
209, 136
43, 62
63, 43
215, 93
81, 35
29, 28
177, 84
18, 71
77, 62
70, 106
50, 24
45, 52
47, 24
56, 82
165, 56
73, 121
99, 24
