61, 68 : 43, 235 : 154, 4 : 156, 105
123, 84 : 43, 235 : 154, 4 : 156, 105
184, 30 : 43, 235 : 154, 4 : 156, 105
35, 36 : 43, 235 : 154, 4 : 156, 105
155, 106 : 43, 235 : 154, 4 : 156, 105
126, 83 : 43, 235 : 154, 4 : 156, 105
64, 24 : 43, 235 : 154, 4 : 156, 105
108, 109 : 43, 235 : 154, 4 : 156, 105
127, 96 : 43, 235 : 154, 4 : 156, 105
32, 65 : 43, 235 : 154, 4 : 156, 105
64, 67 : 43, 235 : 154, 4 : 156, 105
209, 111 : 43, 235 : 154, 4 : 156, 105
62, 64 : 43, 235 : 154, 4 : 156, 105
39, 45 : 43, 235 : 154, 4 : 156, 105
178, 49 : 43, 235 : 154, 4 : 156, 105
76, 25 : 43, 235 : 154, 4 : 156, 105
105, 119 : 43, 235 : 154, 4 : 156, 105
240, 111 : 43, 235 : 154, 4 : 156, 105
23, 37 : 43, 235 : 154, 4 : 156, 105
162, 64 : 43, 235 : 154, 4 : 156, 105
69, 51 : 43, 235 : 154, 4 : 156, 105
69, 33 : 43, 235 : 154, 4 : 156, 105
52, 44 : 43, 235 : 154, 4 : 156, 105
80, 40 : 43, 235 : 154, 4 : 156, 105
64, 37 : 43, 235 : 154, 4 : 156, 105
55, 55 : 43, 235 : 154, 4 : 156, 105
177, 96 : 43, 235 : 154, 4 : 156, 105
75, 38 : 43, 235 : 154, 4 : 156, 105
46, 49 : 43, 235 : 154, 4 : 156, 105
96, 97 : 43, 235 : 154, 4 : 156, 105
74, 73 : 43, 235 : 154, 4 : 156, 105
115, 43 : 43, 235 : 154, 4 : 156, 105
7, 77 : 43, 235 : 154, 4 : 156, 105
65, 77 : 43, 235 : 154, 4 : 156, 105
157, 86 : 43, 235 : 154, 4 : 156, 105
197, 124 : 43, 235 : 154, 4 : 156, 105
80, 79 : 43, 235 : 154, 4 : 156, 105
78, 78 : 43, 235 : 154, 4 : 156, 105
184, 130 : 43, 235 : 154, 4 : 156, 105
80, 25 : 43, 235 : 154, 4 : 156, 105
127, 81 : 43, 235 : 154, 4 : 156, 105
56, 29 : 43, 235 : 154, 4 : 156, 105
46, 24 : 43, 235 : 154, 4 : 156, 105
110, 16 : 43, 235 : 154, 4 : 156, 105
149, 19 : 43, 235 : 154, 4 : 156, 105
61, 22 : 43, 235 : 154, 4 : 156, 105
100, 128 : 43, 235 : 154, 4 : 156, 105
169, 55 : 43, 235 : 154, 4 : 156, 105
45, 51 : 43, 235 : 154, 4 : 156, 105
74, 54 : 43, 235 : 154, 4 : 156, 105
32, 114 : 43, 235 : 154, 4 : 156, 105
42, 53 : 43, 235 : 154, 4 : 156, 105
119, 47 : 43, 235 : 154, 4 : 156, 105
10, 132 : 43, 235 : 154, 4 : 156, 105
66, 26 : 43, 235 : 154, 4 : 156, 105
10, 109 : 43, 235 : 154, 4 : 156, 105
147, 137 : 43, 235 : 154, 4 : 156, 105
73, 41 : 43, 235 : 154, 4 : 156, 105
68, 59 : 43, 235 : 154, 4 : 156, 105
180, 62 : 43, 235 : 154, 4 : 156, 105
55, 35 : 43, 235 : 154, 4 : 156, 105
99, 81 : 43, 235 : 154, 4 : 156, 105
95, 141 : 43, 235 : 154, 4 : 156, 105
19, 56 : 43, 235 : 154, 4 : 156, 105
56, 40 : 43, 235 : 154, 4 : 156, 105
47, 100 : 43, 235 : 154, 4 : 156, 105
81, 64 : 43, 235 : 154, 4 : 156, 105
98, 70 : 43, 235 : 154, 4 : 156, 105
61, 73 : 43, 235 : 154, 4 : 156, 105
51, 49 : 43, 235 : 154, 4 : 156, 105
148, 45 : 43, 235 : 154, 4 : 156, 105
124, 111 : 43, 235 : 154, 4 : 156, 105
42, 22 : 43, 235 : 154, 4 : 156, 105
153, 119 : 43, 235 : 154, 4 : 156, 105
32, 127 : 43, 235 : 154, 4 : 156, 105
70, 65 : 43, 235 : 154, 4 : 156, 105
86, 86 : 43, 235 : 154, 4 : 156, 105
209, 139 : 43, 235 : 154, 4 : 156, 105
35, 54 : 43, 235 : 154, 4 : 156, 105
59, 105 : 43, 235 : 154, 4 : 156, 105
174, 132 : 43, 235 : 154, 4 : 156, 105
40, 30 : 43, 235 : 154, 4 : 156, 105
126, 56 : 43, 235 : 154, 4 : 156, 105
187, 42 : 43, 235 : 154, 4 : 156, 105
52, 44 : 43, 235 : 154, 4 : 156, 105
77, 16 : 43, 235 : 154, 4 : 156, 105
97, 34 : 43, 235 : 154, 4 : 156, 105
65, 47 : 43, 235 : 154, 4 : 156, 105
157, 80 : 43, 235 : 154, 4 : 156, 105
36, 26 : 43, 235 : 154, 4 : 156, 105
55, 48 : 43, 235 : 154, 4 : 156, 105
93, 82 : 43, 235 : 154, 4 : 156, 105
80, 50 : 43, 235 : 154, 4 : 156, 105
18, 74 : 43, 235 : 154, 4 : 156, 105
39, 98 : 43, 235 : 154, 4 : 156, 105
52, 29 : 43, 235 : 154, 4 : 156, 105
4, 72 : 43, 235 : 154, 4 : 156, 105
59, 25 : 43, 235 : 154, 4 : 156, 105
153, 140 : 43, 235 : 154, 4 : 156, 105
92, 17 : 43, 235 : 154, 4 : 156, 105
