77, 53
96, 69
50, 140
90, 23
70, 118
171, 119
38, 36
83, 96
79, 49
17, 64
75, 87
149, 49
57, 43
124, 31
197, 87
105, 43
99, 65
130, 41
81, 26
167, 80
25, 45
50, 75
31, 94
127, 74
34, 77
68, 63
222, 45
51, 55
80, 111
26, 87
49, 67
33, 3
173, 36
47, 32
135, 66
51, 172
49, 56
60, 68
223, 128
104, 48
121, 114
122, 72
83, 18
138, 53
57, 98
72, 55
12, 71
124, 122
51, 79
117, 93
65, 51
35, 38
116, 75
57, 111
34, 57
54, 66
123, 142
52, 21
122, 43
54, 89
59, 50
74, 78
186, 27
95, 18
95, 53
67, 90
70, 84
72, 92
86, 5
36, 52
129, 64
63, 142
73, 50
89, 67
217, 44
51, 32
79, 33
15, 40
70, 32
123, 89
171, 147
34, 31
118, 33
85, 55
61, 56
151, 83
37, 21
77, 26
122, 91
43, 21
71, 89
32, 89
210, 123
53, 17
113, 52
82, 119
28, 75
108, 65
87, 91
59, 44
