46, 49 : 43, 235 : 154, 4 : 156, 105
72, 59 : 43, 235 : 154, 4 : 156, 105
197, 74 : 43, 235 : 154, 4 : 156, 105
38, 41 : 43, 235 : 154, 4 : 156, 105
146, 63 : 43, 235 : 154, 4 : 156, 105
77, 83 : 43, 235 : 154, 4 : 156, 105
81, 21 : 43, 235 : 154, 4 : 156, 105
112, 14 : 43, 235 : 154, 4 : 156, 105
171, 119 : 43, 235 : 154, 4 : 156, 105
99, 53 : 43, 235 : 154, 4 : 156, 105
82, 37 : 43, 235 : 154, 4 : 156, 105
77, 124 : 43, 235 : 154, 4 : 156, 105
77, 48 : 43, 235 : 154, 4 : 156, 105
46, 39 : 43, 235 : 154, 4 : 156, 105
117, 31 : 43, 235 : 154, 4 : 156, 105
20, 42 : 43, 235 : 154, 4 : 156, 105
144, 113 : 43, 235 : 154, 4 : 156, 105
96, 67 : 43, 235 : 154, 4 : 156, 105
46, 56 : 43, 235 : 154, 4 : 156, 105
110, 58 : 43, 235 : 154, 4 : 156, 105
130, 86 : 43, 235 : 154, 4 : 156, 105
65, 46 : 43, 235 : 154, 4 : 156, 105
65, 47 : 43, 235 : 154, 4 : 156, 105
124, 65 : 43, 235 : 154, 4 : 156, 105
41, 36 : 43, 235 : 154, 4 : 156, 105
150, 57 : 43, 235 : 154, 4 : 156, 105
120, 91 : 43, 235 : 154, 4 : 156, 105
99, 27 : 43, 235 : 154, 4 : 156, 105
36, 45 : 43, 235 : 154, 4 : 156, 105
54, 33 : 43, 235 : 154, 4 : 156, 105
50, 24 : 43, 235 : 154, 4 : 156, 105
108, 38 : 43, 235 : 154, 4 : 156, 105
59, 103 : 43, 235 : 154, 4 : 156, 105
68, 34 : 43, 235 : 154, 4 : 156, 105
82, 57 : 43, 235 : 154, 4 : 156, 105
175, 106 : 43, 235 : 154, 4 : 156, 105
52, 39 : 43, 235 : 154, 4 : 156, 105
84, 50 : 43, 235 : 154, 4 : 156, 105
75, 164 : 43, 235 : 154, 4 : 156, 105
83, 62 : 43, 235 : 154, 4 : 156, 105
106, 15 : 43, 235 : 154, 4 : 156, 105
102, 52 : 43, 235 : 154, 4 : 156, 105
22, 67 : 43, 235 : 154, 4 : 156, 105
125, 2 : 43, 235 : 154, 4 : 156, 105
153, 52 : 43, 235 : 154, 4 : 156, 105
88, 28 : 43, 235 : 154, 4 : 156, 105
54, 41 : 43, 235 : 154, 4 : 156, 105
120, 57 : 43, 235 : 154, 4 : 156, 105
47, 54 : 43, 235 : 154, 4 : 156, 105
36, 86 : 43, 235 : 154, 4 : 156, 105
83, 125 : 43, 235 : 154, 4 : 156, 105
71, 6 : 43, 235 : 154, 4 : 156, 105
106, 69 : 43, 235 : 154, 4 : 156, 105
47, 18 : 43, 235 : 154, 4 : 156, 105
52, 39 : 43, 235 : 154, 4 : 156, 105
91, 47 : 43, 235 : 154, 4 : 156, 105
203, 99 : 43, 235 : 154, 4 : 156, 105
50, 53 : 43, 235 : 154, 4 : 156, 105
77, 40 : 43, 235 : 154, 4 : 156, 105
121, 71 : 43, 235 : 154, 4 : 156, 105
69, 50 : 43, 235 : 154, 4 : 156, 105
62, 87 : 43, 235 : 154, 4 : 156, 105
162, 5 : 43, 235 : 154, 4 : 156, 105
69, 51 : 43, 235 : 154, 4 : 156, 105
124, 48 : 43, 235 : 154, 4 : 156, 105
116, 87 : 43, 235 : 154, 4 : 156, 105
28, 52 : 43, 235 : 154, 4 : 156, 105
98, 39 : 43, 235 : 154, 4 : 156, 105
58, 86 : 43, 235 : 154, 4 : 156, 105
44, 28 : 43, 235 : 154, 4 : 156, 105
104, 106 : 43, 235 : 154, 4 : 156, 105
209, 153 : 43, 235 : 154, 4 : 156, 105
58, 63 : 43, 235 : 154, 4 : 156, 105
66, 96 : 43, 235 : 154, 4 : 156, 105
28, 68 : 43, 235 : 154, 4 : 156, 105
41, 61 : 43, 235 : 154, 4 : 156, 105
133, 67 : 43, 235 : 154, 4 : 156, 105
201, 153 : 43, 235 : 154, 4 : 156, 105
19, 58 : 43, 235 : 154, 4 : 156, 105
128, 73 : 43, 235 : 154, 4 : 156, 105
29, 75 : 43, 235 : 154, 4 : 156, 105
74, 49 : 43, 235 : 154, 4 : 156, 105
109, 24 : 43, 235 : 154, 4 : 156, 105
192, 134 : 43, 235 : 154, 4 : 156, 105
44, 44 : 43, 235 : 154, 4 : 156, 105
52, 91 : 43, 235 : 154, 4 : 156, 105
148, 118 : 43, 235 : 154, 4 : 156, 105
72, 39 : 43, 235 : 154, 4 : 156, 105
112, 88 : 43, 235 : 154, 4 : 156, 105
195, 66 : 43, 235 : 154, 4 : 156, 105
27, 84 : 43, 235 : 154, 4 : 156, 105
167, 123 : 43, 235 : 154, 4 : 156, 105
114, 135 : 43, 235 : 154, 4 : 156, 105
23, 69 : 43, 235 : 154, 4 : 156, 105
100, 89 : 43, 235 : 154, 4 : 156, 105
158, 49 : 43, 235 : 154, 4 : 156, 105
32, 34 : 43, 235 : 154, 4 : 156, 105
86, 69 : 43, 235 : 154, 4 : 156, 105
81, 150 : 43, 235 : 154, 4 : 156, 105
74, 18 : 43, 235 : 154, 4 : 156, 105
