42, 53
127, 32
104, 125
41, 13
65, 82
202, 147
104, 60
122, 87
40, 143
54, 56
81, 70
66, 111
54, 27
133, 17
86, 120
99, 30
98, 71
162, 101
83, 32
36, 130
210, 56
64, 10
94, 117
61, 76
60, 41
37, 31
50, 99
81, 54
115, 86
65, 75
11, 41
22, 67
17, 61
54, 45
14, 109
205, 79
13, 57
118, 52
104, 24
10, 7
93, 127
19, 158
88, 52
142, 18
80, 106
43, 41
122, 35
125, 84
19, 53
126, 59
177, 94
53, 58
67, 42
117, 104
61, 38
146, 101
185, 63
59, 37
98, 53
211, 71
46, 43
41, 54
66, 61
13, 61
65, 92
126, 77
42, 82
86, 56
236, 45
44, 34
138, 39
136, 174
26, 43
153, 23
82, 120
68, 64
101, 51
160, 44
44, 57
89, 27
31, 123
36, 82
83, 90
41, 131
25, 39
44, 42
101, 77
66, 41
28, 98
81, 101
49, 61
81, 29
60, 32
85, 74
158, 30
185, 117
62, 72
166, 6
131, 96
62, 45
