57, 60 : 43, 235 : 154, 4 : 156, 105
94, 76 : 43, 235 : 154, 4 : 156, 105
47, 111 : 43, 235 : 154, 4 : 156, 105
21, 45 : 43, 235 : 154, 4 : 156, 105
74, 59 : 43, 235 : 154, 4 : 156, 105
193, 51 : 43, 235 : 154, 4 : 156, 105
65, 38 : 43, 235 : 154, 4 : 156, 105
11, 40 : 43, 235 : 154, 4 : 156, 105
174, 131 : 43, 235 : 154, 4 : 156, 105
59, 33 : 43, 235 : 154, 4 : 156, 105
43, 84 : 43, 235 : 154, 4 : 156, 105
128, 56 : 43, 235 : 154, 4 : 156, 105
12, 63 : 43, 235 : 154, 4 : 156, 105
129, 32 : 43, 235 : 154, 4 : 156, 105
95, 7 : 43, 235 : 154, 4 : 156, 105
78, 40 : 43, 235 : 154, 4 : 156, 105
133, 32 : 43, 235 : 154, 4 : 156, 105
109, 109 : 43, 235 : 154, 4 : 156, 105
97, 83 : 43, 235 : 154, 4 : 156, 105
15, 67 : 43, 235 : 154, 4 : 156, 105
4, 28 : 43, 235 : 154, 4 : 156, 105
92, 33 : 43, 235 : 154, 4 : 156, 105
153, 32 : 43, 235 : 154, 4 : 156, 105
191, 129 : 43, 235 : 154, 4 : 156, 105
103, 51 : 43, 235 : 154, 4 : 156, 105
111, 83 : 43, 235 : 154, 4 : 156, 105
76, 67 : 43, 235 : 154, 4 : 156, 105
79, 20 : 43, 235 : 154, 4 : 156, 105
26, 57 : 43, 235 : 154, 4 : 156, 105
220, 148 : 43, 235 : 154, 4 : 156, 105
65, 50 : 43, 235 : 154, 4 : 156, 105
12, 89 : 43, 235 : 154, 4 : 156, 105
147, 39 : 43, 235 : 154, 4 : 156, 105
60, 43 : 43, 235 : 154, 4 : 156, 105
118, 109 : 43, 235 : 154, 4 : 156, 105
162, 47 : 43, 235 : 154, 4 : 156, 105
36, 55 : 43, 235 : 154, 4 : 156, 105
75, 53 : 43, 235 : 154, 4 : 156, 105
229, 52 : 43, 235 : 154, 4 : 156, 105
52, 61 : 43, 235 : 154, 4 : 156, 105
101, 62 : 43, 235 : 154, 4 : 156, 105
7, 109 : 43, 235 : 154, 4 : 156, 105
30, 36 : 43, 235 : 154, 4 : 156, 105
80, 57 : 43, 235 : 154, 4 : 156, 105
144, 134 : 43, 235 : 154, 4 : 156, 105
72, 21 : 43, 235 : 154, 4 : 156, 105
82, 54 : 43, 235 : 154, 4 : 156, 105
231, 138 : 43, 235 : 154, 4 : 156, 105
43, 58 : 43, 235 : 154, 4 : 156, 105
18, 31 : 43, 235 : 154, 4 : 156, 105
114, 41 : 43, 235 : 154, 4 : 156, 105
49, 22 : 43, 235 : 154, 4 : 156, 105
61, 40 : 43, 235 : 154, 4 : 156, 105
183, 122 : 43, 235 : 154, 4 : 156, 105
93, 58 : 43, 235 : 154, 4 : 156, 105
68, 43 : 43, 235 : 154, 4 : 156, 105
203, 101 : 43, 235 : 154, 4 : 156, 105
65, 69 : 43, 235 : 154, 4 : 156, 105
107, 69 : 43, 235 : 154, 4 : 156, 105
42, 12 : 43, 235 : 154, 4 : 156, 105
64, 43 : 43, 235 : 154, 4 : 156, 105
172, 52 : 43, 235 : 154, 4 : 156, 105
163, 110 : 43, 235 : 154, 4 : 156, 105
71, 79 : 43, 235 : 154, 4 : 156, 105
145, 70 : 43, 235 : 154, 4 : 156, 105
96, 6 : 43, 235 : 154, 4 : 156, 105
16, 49 : 43, 235 : 154, 4 : 156, 105
59, 25 : 43, 235 : 154, 4 : 156, 105
125, 158 : 43, 235 : 154, 4 : 156, 105
75, 37 : 43, 235 : 154, 4 : 156, 105
48, 54 : 43, 235 : 154, 4 : 156, 105
127, 130 : 43, 235 : 154, 4 : 156, 105
78, 74 : 43, 235 : 154, 4 : 156, 105
128, 88 : 43, 235 : 154, 4 : 156, 105
196, 117 : 43, 235 : 154, 4 : 156, 105
39, 53 : 43, 235 : 154, 4 : 156, 105
81, 71 : 43, 235 : 154, 4 : 156, 105
88, 59 : 43, 235 : 154, 4 : 156, 105
71, 65 : 43, 235 : 154, 4 : 156, 105
76, 55 : 43, 235 : 154, 4 : 156, 105
214, 64 : 43, 235 : 154, 4 : 156, 105
84, 64 : 43, 235 : 154, 4 : 156, 105
103, 91 : 43, 235 : 154, 4 : 156, 105
192, 30 : 43, 235 : 154, 4 : 156, 105
4, 30 : 43, 235 : 154, 4 : 156, 105
78, 99 : 43, 235 : 154, 4 : 156, 105
67, 107 : 43, 235 : 154, 4 : 156, 105
49, 40 : 43, 235 : 154, 4 : 156, 105
83, 52 : 43, 235 : 154, 4 : 156, 105
117, 121 : 43, 235 : 154, 4 : 156, 105
30, 78 : 43, 235 : 154, 4 : 156, 105
135, 27 : 43, 235 : 154, 4 : 156, 105
199, 76 : 43, 235 : 154, 4 : 156, 105
78, 26 : 43, 235 : 154, 4 : 156, 105
83, 77 : 43, 235 : 154, 4 : 156, 105
42, 144 : 43, 235 : 154, 4 : 156, 105
54, 46 : 43, 235 : 154, 4 : 156, 105
6, 72 : 43, 235 : 154, 4 : 156, 105
187, 68 : 43, 235 : 154, 4 : 156, 105
76, 51 : 43, 235 : 154, 4 : 156, 105
