98, 60
147, 32
88, 124
77, 26
41, 48
219, 88
72, 69
91, 87
118, 77
85, 22
137, 45
65, 15
52, 41
59, 119
56, 109
67, 55
37, 16
173, 121
43, 78
33, 52
117, 67
91, 64
90, 60
71, 152
53, 28
6, 24
192, 131
12, 61
120, 80
147, 144
60, 42
115, 48
14, 104
90, 43
12, 32
82, 127
39, 85
129, 92
172, 125
87, 63
83, 89
145, 88
20, 28
58, 110
94, 143
46, 55
36, 50
211, 161
50, 57
79, 14
159, 46
57, 45
65, 121
138, 59
24, 28
84, 98
125, 93
64, 45
141, 102
140, 73
79, 41
126, 92
163, 124
90, 26
90, 41
113, 30
65, 46
140, 61
44, 27
51, 54
118, 16
116, 4
43, 30
94, 50
155, 26
82, 55
86, 87
192, 26
56, 48
136, 113
154, 85
106, 30
87, 16
218, 86
55, 44
48, 41
158, 111
89, 51
62, 71
193, 110
38, 47
70, 105
119, 135
22, 48
76, 103
87, 58
70, 54
148, 70
82, 152
78, 19
