74, 61
29, 62
88, 139
78, 51
78, 69
61, 17
80, 55
66, 47
100, 153
64, 42
55, 95
39, 30
39, 40
125, 88
158, 112
77, 49
108, 27
130, 168
71, 37
134, 82
29, 63
56, 16
129, 105
168, 66
64, 47
97, 68
44, 85
46, 48
92, 101
174, 55
51, 67
34, 97
222, 33
67, 83
103, 41
182, 159
42, 72
90, 71
85, 121
95, 41
79, 48
56, 122
68, 62
99, 82
137, 31
37, 45
87, 40
196, 102
26, 64
33, 69
34, 132
48, 46
167, 104
138, 51
49, 55
116, 97
7, 26
41, 24
130, 70
116, 59
74, 46
83, 66
148, 70
44, 57
57, 84
129, 99
68, 22
46, 66
200, 140
45, 20
147, 59
68, 87
78, 40
68, 65
150, 60
54, 28
119, 48
156, 72
51, 50
107, 46
91, 120
18, 27
152, 65
156, 133
66, 47
84, 19
100, 128
30, 23
96, 102
97, 79
60, 56
30, 88
202, 115
66, 65
155, 79
28, 91
53, 33
63, 80
140, 145
83, 56
