20, 53 : 43, 235 : 154, 4 : 156, 105
87, 52 : 43, 235 : 154, 4 : 156, 105
209, 46 : 43, 235 : 154, 4 : 156, 105
50, 71 : 43, 235 : 154, 4 : 156, 105
56, 56 : 43, 235 : 154, 4 : 156, 105
80, 55 : 43, 235 : 154, 4 : 156, 105
31, 43 : 43, 235 : 154, 4 : 156, 105
53, 15 : 43, 235 : 154, 4 : 156, 105
193, 36 : 43, 235 : 154, 4 : 156, 105
67, 45 : 43, 235 : 154, 4 : 156, 105
75, 61 : 43, 235 : 154, 4 : 156, 105
37, 105 : 43, 235 : 154, 4 : 156, 105
70, 50 : 43, 235 : 154, 4 : 156, 105
31, 109 : 43, 235 : 154, 4 : 156, 105
179, 57 : 43, 235 : 154, 4 : 156, 105
46, 75 : 43, 235 : 154, 4 : 156, 105
120, 18 : 43, 235 : 154, 4 : 156, 105
198, 94 : 43, 235 : 154, 4 : 156, 105
92, 51 : 43, 235 : 154, 4 : 156, 105
15, 114 : 43, 235 : 154, 4 : 156, 105
217, 44 : 43, 235 : 154, 4 : 156, 105
66, 43 : 43, 235 : 154, 4 : 156, 105
11, 53 : 43, 235 : 154, 4 : 156, 105
19, 62 : 43, 235 : 154, 4 : 156, 105
30, 60 : 43, 235 : 154, 4 : 156, 105
110, 27 : 43, 235 : 154, 4 : 156, 105
206, 112 : 43, 235 : 154, 4 : 156, 105
33, 57 : 43, 235 : 154, 4 : 156, 105
32, 90 : 43, 235 : 154, 4 : 156, 105
191, 107 : 43, 235 : 154, 4 : 156, 105
36, 75 : 43, 235 : 154, 4 : 156, 105
66, 54 : 43, 235 : 154, 4 : 156, 105
199, 109 : 43, 235 : 154, 4 : 156, 105
39, 18 : 43, 235 : 154, 4 : 156, 105
107, 107 : 43, 235 : 154, 4 : 156, 105
98, 99 : 43, 235 : 154, 4 : 156, 105
23, 47 : 43, 235 : 154, 4 : 156, 105
105, 79 : 43, 235 : 154, 4 : 156, 105
166, 22 : 43, 235 : 154, 4 : 156, 105
91, 69 : 43, 235 : 154, 4 : 156, 105
20, 107 : 43, 235 : 154, 4 : 156, 105
205, 148 : 43, 235 : 154, 4 : 156, 105
67, 67 : 43, 235 : 154, 4 : 156, 105
138, 124 : 43, 235 : 154, 4 : 156, 105
124, 153 : 43, 235 : 154, 4 : 156, 105
13, 24 : 43, 235 : 154, 4 : 156, 105
37, 84 : 43, 235 : 154, 4 : 156, 105
211, 94 : 43, 235 : 154, 4 : 156, 105
67, 46 : 43, 235 : 154, 4 : 156, 105
57, 67 : 43, 235 : 154, 4 : 156, 105
218, 118 : 43, 235 : 154, 4 : 156, 105
18, 54 : 43, 235 : 154, 4 : 156, 105
80, 9 : 43, 235 : 154, 4 : 156, 105
237, 120 : 43, 235 : 154, 4 : 156, 105
66, 55 : 43, 235 : 154, 4 : 156, 105
53, 95 : 43, 235 : 154, 4 : 156, 105
91, 96 : 43, 235 : 154, 4 : 156, 105
79, 31 : 43, 235 : 154, 4 : 156, 105
57, 115 : 43, 235 : 154, 4 : 156, 105
83, 49 : 43, 235 : 154, 4 : 156, 105
46, 26 : 43, 235 : 154, 4 : 156, 105
35, 107 : 43, 235 : 154, 4 : 156, 105
228, 54 : 43, 235 : 154, 4 : 156, 105
72, 22 : 43, 235 : 154, 4 : 156, 105
119, 65 : 43, 235 : 154, 4 : 156, 105
87, 84 : 43, 235 : 154, 4 : 156, 105
34, 37 : 43, 235 : 154, 4 : 156, 105
67, 27 : 43, 235 : 154, 4 : 156, 105
132, 152 : 43, 235 : 154, 4 : 156, 105
81, 45 : 43, 235 : 154, 4 : 156, 105
61, 100 : 43, 235 : 154, 4 : 156, 105
89, 80 : 43, 235 : 154, 4 : 156, 105
94, 40 : 43, 235 : 154, 4 : 156, 105
115, 50 : 43, 235 : 154, 4 : 156, 105
192, 89 : 43, 235 : 154, 4 : 156, 105
78, 36 : 43, 235 : 154, 4 : 156, 105
100, 39 : 43, 235 : 154, 4 : 156, 105
116, 68 : 43, 235 : 154, 4 : 156, 105
40, 45 : 43, 235 : 154, 4 : 156, 105
87, 37 : 43, 235 : 154, 4 : 156, 105
158, 115 : 43, 235 : 154, 4 : 156, 105
13, 8 : 43, 235 : 154, 4 : 156, 105
145, 17 : 43, 235 : 154, 4 : 156, 105
110, 75 : 43, 235 : 154, 4 : 156, 105
81, 62 : 43, 235 : 154, 4 : 156, 105
107, 91 : 43, 235 : 154, 4 : 156, 105
161, 125 : 43, 235 : 154, 4 : 156, 105
83, 51 : 43, 235 : 154, 4 : 156, 105
69, 66 : 43, 235 : 154, 4 : 156, 105
73, 111 : 43, 235 : 154, 4 : 156, 105
106, 33 : 43, 235 : 154, 4 : 156, 105
35, 59 : 43, 235 : 154, 4 : 156, 105
95, 16 : 43, 235 : 154, 4 : 156, 105
21, 24 : 43, 235 : 154, 4 : 156, 105
143, 63 : 43, 235 : 154, 4 : 156, 105
81, 51 : 43, 235 : 154, 4 : 156, 105
42, 77 : 43, 235 : 154, 4 : 156, 105
77, 75 : 43, 235 : 154, 4 : 156, 105
146, 115 : 43, 235 : 154, 4 : 156, 105
50, 5 : 43, 235 : 154, 4 : 156, 105
