69, 84 : 43, 235 : 154, 4 : 156, 105
56, 69 : 43, 235 : 154, 4 : 156, 105
214, 129 : 43, 235 : 154, 4 : 156, 105
53, 80 : 43, 235 : 154, 4 : 156, 105
84, 8 : 43, 235 : 154, 4 : 156, 105
78, 149 : 43, 235 : 154, 4 : 156, 105
86, 81 : 43, 235 : 154, 4 : 156, 105
78, 48 : 43, 235 : 154, 4 : 156, 105
169, 85 : 43, 235 : 154, 4 : 156, 105
67, 61 : 43, 235 : 154, 4 : 156, 105
33, 108 : 43, 235 : 154, 4 : 156, 105
198, 20 : 43, 235 : 154, 4 : 156, 105
49, 44 : 43, 235 : 154, 4 : 156, 105
122, 32 : 43, 235 : 154, 4 : 156, 105
103, 119 : 43, 235 : 154, 4 : 156, 105
44, 66 : 43, 235 : 154, 4 : 156, 105
60, 92 : 43, 235 : 154, 4 : 156, 105
202, 100 : 43, 235 : 154, 4 : 156, 105
77, 28 : 43, 235 : 154, 4 : 156, 105
97, 84 : 43, 235 : 154, 4 : 156, 105
48, 118 : 43, 235 : 154, 4 : 156, 105
90, 58 : 43, 235 : 154, 4 : 156, 105
131, 73 : 43, 235 : 154, 4 : 156, 105
77, 51 : 43, 235 : 154, 4 : 156, 105
51, 52 : 43, 235 : 154, 4 : 156, 105
110, 76 : 43, 235 : 154, 4 : 156, 105
153, 73 : 43, 235 : 154, 4 : 156, 105
60, 29 : 43, 235 : 154, 4 : 156, 105
154, 36 : 43, 235 : 154, 4 : 156, 105
177, 154 : 43, 235 : 154, 4 : 156, 105
57, 45 : 43, 235 : 154, 4 : 156, 105
98, 82 : 43, 235 : 154, 4 : 156, 105
120, 41 : 43, 235 : 154, 4 : 156, 105
76, 31 : 43, 235 : 154, 4 : 156, 105
73, 70 : 43, 235 : 154, 4 : 156, 105
198, 92 : 43, 235 : 154, 4 : 156, 105
32, 11 : 43, 235 : 154, 4 : 156, 105
147, 78 : 43, 235 : 154, 4 : 156, 105
50, 116 : 43, 235 : 154, 4 : 156, 105
46, 63 : 43, 235 : 154, 4 : 156, 105
116, 91 : 43, 235 : 154, 4 : 156, 105
124, 102 : 43, 235 : 154, 4 : 156, 105
41, 70 : 43, 235 : 154, 4 : 156, 105
95, 69 : 43, 235 : 154, 4 : 156, 105
159, 141 : 43, 235 : 154, 4 : 156, 105
55, 34 : 43, 235 : 154, 4 : 156, 105
73, 74 : 43, 235 : 154, 4 : 156, 105
227, 116 : 43, 235 : 154, 4 : 156, 105
41, 27 : 43, 235 : 154, 4 : 156, 105
162, 80 : 43, 235 : 154, 4 : 156, 105
112, 83 : 43, 235 : 154, 4 : 156, 105
44, 8 : 43, 235 : 154, 4 : 156, 105
61, 84 : 43, 235 : 154, 4 : 156, 105
136, 52 : 43, 235 : 154, 4 : 156, 105
44, 87 : 43, 235 : 154, 4 : 156, 105
134, 74 : 43, 235 : 154, 4 : 156, 105
183, 78 : 43, 235 : 154, 4 : 156, 105
31, 78 : 43, 235 : 154, 4 : 156, 105
134, 95 : 43, 235 : 154, 4 : 156, 105
124, 117 : 43, 235 : 154, 4 : 156, 105
76, 53 : 43, 235 : 154, 4 : 156, 105
77, 11 : 43, 235 : 154, 4 : 156, 105
114, 122 : 43, 235 : 154, 4 : 156, 105
84, 41 : 43, 235 : 154, 4 : 156, 105
14, 53 : 43, 235 : 154, 4 : 156, 105
76, 153 : 43, 235 : 154, 4 : 156, 105
103, 85 : 43, 235 : 154, 4 : 156, 105
66, 106 : 43, 235 : 154, 4 : 156, 105
98, 20 : 43, 235 : 154, 4 : 156, 105
60, 81 : 43, 235 : 154, 4 : 156, 105
82, 21 : 43, 235 : 154, 4 : 156, 105
71, 90 : 43, 235 : 154, 4 : 156, 105
7, 54 : 43, 235 : 154, 4 : 156, 105
45, 54 : 43, 235 : 154, 4 : 156, 105
123, 54 : 43, 235 : 154, 4 : 156, 105
26, 38 : 43, 235 : 154, 4 : 156, 105
42, 85 : 43, 235 : 154, 4 : 156, 105
163, 117 : 43, 235 : 154, 4 : 156, 105
37, 52 : 43, 235 : 154, 4 : 156, 105
53, 80 : 43, 235 : 154, 4 : 156, 105
140, 57 : 43, 235 : 154, 4 : 156, 105
53, 20 : 43, 235 : 154, 4 : 156, 105
86, 83 : 43, 235 : 154, 4 : 156, 105
68, 130 : 43, 235 : 154, 4 : 156, 105
27, 70 : 43, 235 : 154, 4 : 156, 105
166, 57 : 43, 235 : 154, 4 : 156, 105
120, 102 : 43, 235 : 154, 4 : 156, 105
95, 68 : 43, 235 : 154, 4 : 156, 105
29, 58 : 43, 235 : 154, 4 : 156, 105
174, 92 : 43, 235 : 154, 4 : 156, 105
109, 21 : 43, 235 : 154, 4 : 156, 105
126, 19 : 43, 235 : 154, 4 : 156, 105
36, 148 : 43, 235 : 154, 4 : 156, 105
42, 73 : 43, 235 : 154, 4 : 156, 105
122, 73 : 43, 235 : 154, 4 : 156, 105
189, 98 : 43, 235 : 154, 4 : 156, 105
61, 42 : 43, 235 : 154, 4 : 156, 105
141, 116 : 43, 235 : 154, 4 : 156, 105
74, 25 : 43, 235 : 154, 4 : 156, 105
63, 45 : 43, 235 : 154, 4 : 156, 105
